Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:
4132 : (x,y) = (15.7333,29.4882)

4133 : (x,y) = (16.1571,28.5824)

4134 : (x,y) = (17.1528,28.4893)

4135 : (x,y) = (18.1366,28.6684)

4136 : (x,y) = (18.9731,29.2164)

4137 : (x,y) = (18.072,28.7829)

4138 : (x,y) = (18.8538,28.1594)

4139 : (x,y) = (19.1405,29.1174)

4140 : (x,y) = (19.7543,29.9069)

4141 : (x,y) = (19.3381,30.8162)

4142 : (x,y) = (19.0308,29.8646)

4143 : (x,y) = (19.6908,30.6159)

4144 : (x,y) = (19.4605,29.6428)

4145 : (x,y) = (20.3928,30.0044)

4146 : (x,y) = (19.4124,29.8073)

4147 : (x,y) = (19.7247,28.8573)

4148 : (x,y) = (20.3823,28.1039)

4149 : (x,y) = (20.8712,28.9763)

4150 : (x,y) = (20.0041,29.4745)

4151 : (x,y) = (19.3063,28.7583)

4152 : (x,y) = (18.3745,29.1214)

4153 : (x,y) = (17.4187,28.8274)

4154 : (x,y) = (18.2696,28.302)

4155 : (x,y) = (17.3479,27.914)

4156 : (x,y) = (17.4055,26.9157)

4157 : (x,y) = (17.4762,27.9132)

4158 : (x,y) = (18.0874,27.1217)

4159 : (x,y) = (17.8088,26.1613)

4160 : (x,y) = (18.7411,26.523)

4161 : (x,y) = (18.5042,27.4945)

4162 : (x,y) = (19.1466,26.7281)

4163 : (x,y) = (18.2897,27.2436)

4164 : (x,y) = (17.8286,28.131)

4165 : (x,y) = (17.5917,29.1025)

4166 : (x,y) = (16.5922,29.1341)

4167 : (x,y) = (15.9111,29.8663)

4168 : (x,y) = (16.078,28.8803)

4169 : (x,y) = (15.138,28.5389)

4170 : (x,y) = (15.2784,29.529)

4171 : (x,y) = (15.326,28.5302)

4172 : (x,y) = (14.4005,28.1514)

4173 : (x,y) = (13.4018,28.203)

4174 : (x,y) = (14.401,28.243)

4175 : (x,y) = (14.9131,27.3841)

4176 : (x,y) = (15.8963,27.2019)

4177 : (x,y) = (14.9002,27.1136)

4178 : (x,y) = (14.4481,28.0055)

4179 : (x,y) = (14.7793,27.062)

4180 : (x,y) = (15.393,27.8515)

4181 : (x,y) = (14.6292,28.4969)

4182 : (x,y) = (13.7656,27.9928)

4183 : (x,y) = (14.2604,27.1238)

4184 : (x,y) = (15.1802,26.7314)

4185 : (x,y) = (14.6245,27.5628)

4186 : (x,y) = (14.1371,28.4359)

4187 : (x,y) = (13.4858,29.1948)

4188 : (x,y) = (14.3948,29.6117)

4189 : (x,y) = (13.456,29.9561)

4190 : (x,y) = (14.2057,29.2943)

4191 : (x,y) = (13.681,28.443)

4192 : (x,y) = (13.9963,29.392)

4193 : (x,y) = (14.9777,29.2)

4194 : (x,y) = (14.0914,29.6632)

4195 : (x,y) = (13.2903,30.2617)

4196 : (x,y) = (12.5996,29.5385)

4197 : (x,y) = (13.3012,28.8259)

4198 : (x,y) = (12.4376,28.3218)

4199 : (x,y) = (12.8614,27.416)

4200 : (x,y) = (13.087,26.4418)

4201 : (x,y) = (13.2637,25.4575)

4202 : (x,y) = (14.1583,25.0107)

4203 : (x,y) = (13.1584,25.0023)

4204 : (x,y) = (13.0693,25.9983)

4205 : (x,y) = (12.2603,25.4105)

4206 : (x,y) = (12.632,26.3388)

4207 : (x,y) = (12.395,27.3104)

4208 : (x,y) = (12.4626,26.3127)

4209 : (x,y) = (13.0417,25.4974)

4210 : (x,y) = (14.0073,25.2372)

4211 : (x,y) = (13.0935,24.8309)

4212 : (x,y) = (13.6311,23.9877)

4213 : (x,y) = (14.5761,23.6607)

4214 : (x,y) = (13.6184,23.9482)

4215 : (x,y) = (14.1727,23.1159)

4216 : (x,y) = (14.5874,22.2059)

4217 : (x,y) = (13.9829,23.0025)

4218 : (x,y) = (13.0374,23.3281)

4219 : (x,y) = (12.4651,24.1482)

4220 : (x,y) = (12.5327,23.1504)

4221 : (x,y) = (12.3152,24.1265)

4222 : (x,y) = (11.4619,23.6052)

4223 : (x,y) = (11.6711,24.583)

4224 : (x,y) = (10.8025,24.0875)

4225 : (x,y) = (9.86606,23.7368)

4226 : (x,y) = (10.2745,24.6495)

4227 : (x,y) = (9.43721,24.1028)

4228 : (x,y) = (9.88188,24.9985)

4229 : (x,y) = (9.97933,24.0033)

4230 : (x,y) = (10.3324,24.9389)

4231 : (x,y) = (10.9899,24.1855)

4232 : (x,y) = (11.0107,25.1853)

4233 : (x,y) = (11.8286,24.6098)

4234 : (x,y) = (12.5157,23.8834)

4235 : (x,y) = (11.9996,23.0269)

4236 : (x,y) = (12.979,22.8251)

4237 : (x,y) = (12.2979,23.5573)

4238 : (x,y) = (13.2562,23.8433)

4239 : (x,y) = (12.8371,22.9353)

4240 : (x,y) = (12.1344,23.6468)

4241 : (x,y) = (11.7706,22.7153)

4242 : (x,y) = (12.465,21.9958)

4243 : (x,y) = (12.2867,22.9797)

4244 : (x,y) = (13.2867,22.9897)

4245 : (x,y) = (12.2879,22.9414)

4246 : (x,y) = (13.1114,22.3741)

4247 : (x,y) = (12.2206,22.8284)

4248 : (x,y) = (12.3478,21.8365)

4249 : (x,y) = (11.4555,21.3851)

4250 : (x,y) = (11.1134,22.3247)

4251 : (x,y) = (10.3103,21.7288)

4252 : (x,y) = (10.9082,22.5304)

4253 : (x,y) = (11.0485,23.5205)

4254 : (x,y) = (11.0093,24.5197)

4255 : (x,y) = (10.3865,23.7374)

4256 : (x,y) = (10.9843,24.539)

4257 : (x,y) = (11.7743,25.1521)

4258 : (x,y) = (11.2159,24.3225)

4259 : (x,y) = (10.752,23.4366)

4260 : (x,y) = (11.4884,22.76)

4261 : (x,y) = (10.5277,23.0379)

4262 : (x,y) = (10.7241,22.0574)

4263 : (x,y) = (11.5869,22.5629)

4264 : (x,y) = (11.8059,23.5386)

4265 : (x,y) = (11.7068,24.5337)

4266 : (x,y) = (11.578,25.5254)

4267 : (x,y) = (11.028,24.6902)

4268 : (x,y) = (10.2035,25.2562)

4269 : (x,y) = (10.6543,24.3635)

4270 : (x,y) = (10.6051,25.3623)

4271 : (x,y) = (11.1258,24.5085)

4272 : (x,y) = (10.3555,25.1463)

4273 : (x,y) = (10.0865,24.1832)

4274 : (x,y) = (10.5986,23.3242)

4275 : (x,y) = (10.8564,24.2904)

4276 : (x,y) = (10.0493,24.8808)

4277 : (x,y) = (9.6332,25.7901)

4278 : (x,y) = (9.08584,26.627)

4279 : (x,y) = (8.08601,26.6086)

4280 : (x,y) = (7.21249,26.1219)

4281 : (x,y) = (7.87008,25.3685)

4282 : (x,y) = (8.66616,25.9737)

4283 : (x,y) = (7.78781,25.4956)

4284 : (x,y) = (6.85856,25.1262)

4285 : (x,y) = (5.85863,25.1378)

4286 : (x,y) = (6.8292,24.897)

4287 : (x,y) = (5.8311,24.9585)

4288 : (x,y) = (6.75092,24.5662)

4289 : (x,y) = (5.76506,24.3986)

4290 : (x,y) = (5.27758,25.2717)

4291 : (x,y) = (4.84333,26.1725)

4292 : (x,y) = (5.82718,26.3515)

4293 : (x,y) = (5.47565,27.2877)

4294 : (x,y) = (5.54638,28.2852)

4295 : (x,y) = (5.70649,29.2723)

4296 : (x,y) = (5.93524,30.2458)

4297 : (x,y) = (5.63744,29.2912)

4298 : (x,y) = (6.31966,30.0223)

4299 : (x,y) = (6.89318,30.8415)

4300 : (x,y) = (6.43211,31.7289)

4301 : (x,y) = (6.61192,32.7126)

4302 : (x,y) = (5.70229,32.2971)

4303 : (x,y) = (4.93206,32.9349)

4304 : (x,y) = (3.93229,32.9565)

4305 : (x,y) = (4.64096,32.251)

4306 : (x,y) = (4.78804,31.2618)

4307 : (x,y) = (4.23234,32.0932)

4308 : (x,y) = (3.674,31.2636)

4309 : (x,y) = (2.76857,30.8391)

4310 : (x,y) = (3.7259,30.5501)

4311 : (x,y) = (3.49869,31.524)

4312 : (x,y) = (4.09653,32.3256)

4313 : (x,y) = (5.07019,32.5535)

4314 : (x,y) = (5.44185,33.4819)

4315 : (x,y) = (4.7658,32.7451)

4316 : (x,y) = (4.1773,33.5536)

4317 : (x,y) = (3.2444,33.1934)

4318 : (x,y) = (2.70276,32.3528)

4319 : (x,y) = (2.74036,31.3535)

4320 : (x,y) = (1.7694,31.5928)

4321 : (x,y) = (1.89983,32.5842)

4322 : (x,y) = (1.13601,33.2297)

4323 : (x,y) = (0.149039,33.3906)

4324 : (x,y) = (0.126652,32.3908)

4325 : (x,y) = (1.11907,32.2679)

4326 : (x,y) = (0.121413,32.1996)

4327 : (x,y) = (-0.871204,32.3209)

4328 : (x,y) = (-1.86533,32.2127)

4329 : (x,y) = (-1.05919,31.621)

4330 : (x,y) = (-0.0777892,31.429)

4331 : (x,y) = (0.348871,32.3334)

4332 : (x,y) = (0.983563,31.5606)

4333 : (x,y) = (1.02117,30.5613)

4334 : (x,y) = (1.99853,30.3498)

4335 : (x,y) = (1.12656,30.8393)

4336 : (x,y) = (0.737877,31.7607)

4337 : (x,y) = (1.33315,30.9572)

4338 : (x,y) = (2.28549,31.2622)

4339 : (x,y) = (3.26352,31.4707)

4340 : (x,y) = (2.43347,32.0284)

4341 : (x,y) = (3.40238,32.2758)

4342 : (x,y) = (2.72633,31.5389)

4343 : (x,y) = (2.94223,30.5625)

4344 : (x,y) = (3.4457,29.6985)

4345 : (x,y) = (4.19087,30.3654)

4346 : (x,y) = (3.96057,29.3922)

4347 : (x,y) = (3.6946,30.3562)

4348 : (x,y) = (4.61566,30.7457)

4349 : (x,y) = (5.61133,30.6526)

4350 : (x,y) = (6.60953,30.7126)

4351 : (x,y) = (6.82542,29.7361)

4352 : (x,y) = (6.11339,29.034)

4353 : (x,y) = (7.03708,28.6509)

4354 : (x,y) = (6.09486,28.9859)

4355 : (x,y) = (6.99091,29.4298)

4356 : (x,y) = (6.35499,30.2016)

4357 : (x,y) = (6.70801,31.1372)

4358 : (x,y) = (5.95516,30.479)

4359 : (x,y) = (4.95556,30.4506)

4360 : (x,y) = (5.91933,30.7173)

4361 : (x,y) = (6.8831,30.984)

4362 : (x,y) = (7.75429,30.4931)

4363 : (x,y) = (8.41427,31.2444)

4364 : (x,y) = (9.39931,31.0721)

4365 : (x,y) = (8.9622,30.1726)

4366 : (x,y) = (7.96236,30.1542)

4367 : (x,y) = (6.99639,30.4129)

4368 : (x,y) = (7.88191,29.9483)

4369 : (x,y) = (8.47974,30.7499)

4370 : (x,y) = (9.38449,31.1758)

4371 : (x,y) = (10.3831,31.1227)

4372 : (x,y) = (10.9291,30.2849)

4373 : (x,y) = (10.8269,29.2901)

4374 : (x,y) = (9.82806,29.2417)

4375 : (x,y) = (10.2518,28.336)

4376 : (x,y) = (10.4317,29.3197)

4377 : (x,y) = (10.7723,28.3795)

4378 : (x,y) = (9.77304,28.3411)

4379 : (x,y) = (9.16849,29.1376)

4380 : (x,y) = (8.22627,29.4726)

4381 : (x,y) = (7.38351,28.9343)

4382 : (x,y) = (6.71486,28.1908)

4383 : (x,y) = (6.19014,27.3395)

4384 : (x,y) = (5.70266,28.2126)

4385 : (x,y) = (4.85456,27.6828)

4386 : (x,y) = (4.17117,26.9527)

4387 : (x,y) = (4.816,27.7171)

4388 : (x,y) = (4.03943,28.3471)

4389 : (x,y) = (4.19639,27.3595)

4390 : (x,y) = (3.47737,26.6645)

4391 : (x,y) = (4.385,26.2447)

4392 : (x,y) = (5.18108,26.8499)

4393 : (x,y) = (5.5683,25.9279)

4394 : (x,y) = (6.55945,25.7951)

4395 : (x,y) = (6.18926,26.7241)

4396 : (x,y) = (7.18747,26.7841)

4397 : (x,y) = (6.95716,25.8109)

4398 : (x,y) = (5.97361,25.9915)

4399 : (x,y) = (6.58483,25.2001)

4400 : (x,y) = (7.13352,26.0361)

4401 : (x,y) = (6.29076,25.4978)

4402 : (x,y) = (5.88082,24.5857)

4403 : (x,y) = (5.22204,25.338)

4404 : (x,y) = (4.56839,24.5812)

4405 : (x,y) = (5.53651,24.3307)

4406 : (x,y) = (5.71319,23.3465)

4407 : (x,y) = (5.33374,24.2717)

4408 : (x,y) = (6.25086,24.6703)

4409 : (x,y) = (7.18563,24.315)

4410 : (x,y) = (8.17585,24.4546)

4411 : (x,y) = (7.40359,23.8193)

4412 : (x,y) = (7.32447,24.8161)

4413 : (x,y) = (8.26615,24.4797)

4414 : (x,y) = (7.26639,24.5012)

4415 : (x,y) = (7.63509,23.5717)

4416 : (x,y) = (7.33729,22.6171)

4417 : (x,y) = (6.41298,22.9987)

4418 : (x,y) = (7.37404,23.2751)

4419 : (x,y) = (8.07562,22.5625)

4420 : (x,y) = (7.33823,23.238)

4421 : (x,y) = (7.60265,22.2736)

4422 : (x,y) = (7.83141,23.247)

4423 : (x,y) = (7.36751,22.3611)

4424 : (x,y) = (8.36571,22.4211)

4425 : (x,y) = (7.45608,22.0057)

4426 : (x,y) = (7.57342,21.0126)

4427 : (x,y) = (7.38222,20.031)

4428 : (x,y) = (6.38529,19.9527)

4429 : (x,y) = (5.41677,20.2017)

4430 : (x,y) = (5.5571,21.1918)

4431 : (x,y) = (4.68849,20.6963)

4432 : (x,y) = (5.32565,21.467)

4433 : (x,y) = (4.9157,20.5549)

4434 : (x,y) = (4.02945,21.0181)

4435 : (x,y) = (4.72615,21.7355)

4436 : (x,y) = (5.71637,21.875)

4437 : (x,y) = (6.49821,21.2515)

4438 : (x,y) = (7.25449,20.5973)

4439 : (x,y) = (6.26036,20.4891)

4440 : (x,y) = (5.94353,19.5406)

4441 : (x,y) = (5.06518,19.0626)

4442 : (x,y) = (6.02624,19.3389)

4443 : (x,y) = (6.05385,18.3393)

4444 : (x,y) = (5.06687,18.5002)

4445 : (x,y) = (5.31505,19.4689)

4446 : (x,y) = (6.31237,19.3958)

4447 : (x,y) = (6.34997,18.3965)

4448 : (x,y) = (5.93093,17.4885)

4449 : (x,y) = (6.0216,18.4844)

4450 : (x,y) = (5.72685,19.44)

4451 : (x,y) = (5.64455,18.4434)

4452 : (x,y) = (6.5493,18.8693)

4453 : (x,y) = (7.44975,19.3043)

4454 : (x,y) = (6.59639,18.7829)

4455 : (x,y) = (5.64455,19.0895)

4456 : (x,y) = (4.6648,19.2898)

4457 : (x,y) = (4.32906,18.3478)

4458 : (x,y) = (5.05857,17.6638)

4459 : (x,y) = (4.97628,16.6672)

4460 : (x,y) = (3.97701,16.6288)

4461 : (x,y) = (3.00606,16.8681)

4462 : (x,y) = (2.325,17.6003)

4463 : (x,y) = (2.35579,18.5998)

4464 : (x,y) = (1.39518,18.8777)

4465 : (x,y) = (1.5915,17.8972)

4466 : (x,y) = (0.65617,18.2509)

4467 : (x,y) = (1.23785,19.0644)

4468 : (x,y) = (0.440807,18.4604)

4469 : (x,y) = (0.944277,17.5964)

4470 : (x,y) = (1.50958,18.4213)

4471 : (x,y) = (0.577827,18.7844)

4472 : (x,y) = (-0.355075,18.4243)

4473 : (x,y) = (-0.487078,17.433)

4474 : (x,y) = (-1.48591,17.3846)

4475 : (x,y) = (-1.19919,18.3427)

4476 : (x,y) = (-1.13843,19.3408)

4477 : (x,y) = (-0.448934,20.0651)

4478 : (x,y) = (0.422251,19.5741)

4479 : (x,y) = (0.82159,20.491)

4480 : (x,y) = (1.45874,21.2617)

4481 : (x,y) = (0.605386,20.7404)

4482 : (x,y) = (-0.33344,21.0848)

4483 : (x,y) = (0.0195797,22.0204)

4484 : (x,y) = (0.238586,22.9961)

4485 : (x,y) = (-0.512168,23.6567)

4486 : (x,y) = (-0.14981,24.5887)

4487 : (x,y) = (-1.06225,24.9979)

4488 : (x,y) = (-1.64523,24.1854)

4489 : (x,y) = (-2.60103,23.8914)

4490 : (x,y) = (-3.45792,24.4069)

4491 : (x,y) = (-4.10396,23.6436)

4492 : (x,y) = (-3.31397,24.2568)

4493 : (x,y) = (-2.76795,23.419)

4494 : (x,y) = (-2.49083,24.3798)

4495 : (x,y) = (-1.60849,24.8505)

4496 : (x,y) = (-0.750786,25.3646)

4497 : (x,y) = (-0.813134,24.3665)

4498 : (x,y) = (-0.662909,25.3552)

4499 : (x,y) = (-0.405059,26.3214)

4500 : (x,y) = (-1.38276,26.5314)

4501 : (x,y) = (-2.38143,26.583)

4502 : (x,y) = (-2.77304,25.6628)

4503 : (x,y) = (-3.58201,25.075)

4504 : (x,y) = (-4.28472,25.7864)

4505 : (x,y) = (-5.03096,25.1208)

4506 : (x,y) = (-5.48313,26.0127)

4507 : (x,y) = (-4.63757,25.4788)

4508 : (x,y) = (-5.56683,25.1094)

4509 : (x,y) = (-6.33706,25.7471)

4510 : (x,y) = (-6.01528,24.8003)

4511 : (x,y) = (-5.07938,25.1526)

4512 : (x,y) = (-4.34987,24.4686)

4513 : (x,y) = (-5.1761,23.9053)

4514 : (x,y) = (-4.98646,24.8872)

4515 : (x,y) = (-4.77056,23.9107)

4516 : (x,y) = (-4.6433,22.9189)

4517 : (x,y) = (-5.58658,22.5869)

4518 : (x,y) = (-4.80474,21.9634)

4519 : (x,y) = (-4.61823,20.981)

4520 : (x,y) = (-4.08061,20.1378)

4521 : (x,y) = (-5.08044,20.1194)

4522 : (x,y) = (-6.02597,20.4449)

4523 : (x,y) = (-5.0973,20.8158)

4524 : (x,y) = (-5.21939,19.8233)

4525 : (x,y) = (-6.21915,19.8449)

4526 : (x,y) = (-6.8728,19.0881)

4527 : (x,y) = (-5.92144,18.78)

4528 : (x,y) = (-6.49626,17.9617)

4529 : (x,y) = (-5.65608,17.4194)

4530 : (x,y) = (-6.50249,17.952)

4531 : (x,y) = (-6.5217,18.9518)

4532 : (x,y) = (-5.64411,19.4312)

4533 : (x,y) = (-6.64104,19.3529)

4534 : (x,y) = (-6.62343,18.353)

4535 : (x,y) = (-7.5515,18.7254)

4536 : (x,y) = (-7.23921,17.7754)

4537 : (x,y) = (-7.06253,16.7912)

4538 : (x,y) = (-6.19629,16.2915)

4539 : (x,y) = (-7.14285,15.969)

4540 : (x,y) = (-6.76487,15.0432)

4541 : (x,y) = (-5.91932,14.5093)

4542 : (x,y) = (-5.71987,15.4892)

4543 : (x,y) = (-5.47478,14.5197)

4544 : (x,y) = (-4.99465,15.3969)

4545 : (x,y) = (-4.77565,16.3726)

4546 : (x,y) = (-5.30616,17.2203)

4547 : (x,y) = (-5.21549,18.2162)

4548 : (x,y) = (-4.30652,18.6331)

4549 : (x,y) = (-4.85388,19.47)

4550 : (x,y) = (-5.5729,18.775)

4551 : (x,y) = (-4.67384,18.3371)

4552 : (x,y) = (-4.64305,19.3367)

4553 : (x,y) = (-5.36207,18.6417)

4554 : (x,y) = (-5.11389,19.6104)

4555 : (x,y) = (-6.08792,19.384)

4556 : (x,y) = (-7.06416,19.1673)

4557 : (x,y) = (-7.24554,18.1839)

4558 : (x,y) = (-7.91419,17.4403)

4559 : (x,y) = (-7.46953,18.336)

4560 : (x,y) = (-6.56478,18.7619)

4561 : (x,y) = (-7.56391,18.8035)

4562 : (x,y) = (-7.33826,17.8293)

4563 : (x,y) = (-6.36769,17.5885)

4564 : (x,y) = (-7.33864,17.8277)

4565 : (x,y) = (-8.14761,17.2399)

4566 : (x,y) = (-8.9832,17.7892)

4567 : (x,y) = (-9.91245,17.4198)

4568 : (x,y) = (-9.25247,18.1711)

4569 : (x,y) = (-10.1729,18.562)

4570 : (x,y) = (-10.5981,19.4671)

4571 : (x,y) = (-9.6008,19.3939)

4572 : (x,y) = (-10.3646,20.0394)

4573 : (x,y) = (-11.3144,19.7263)

4574 : (x,y) = (-12.3018,19.5686)

4575 : (x,y) = (-12.0957,18.5901)

4576 : (x,y) = (-11.1137,18.7789)

4577 : (x,y) = (-11.3049,17.7974)

4578 : (x,y) = (-12.3023,17.8689)

4579 : (x,y) = (-12.8989,18.6715)

4580 : (x,y) = (-12.0968,19.2687)

4581 : (x,y) = (-11.2888,19.8578)

4582 : (x,y) = (-10.2928,19.9477)

4583 : (x,y) = (-9.37301,19.5553)

4584 : (x,y) = (-10.0166,20.3207)

4585 : (x,y) = (-10.98,20.589)

4586 : (x,y) = (-10.1172,21.0945)

4587 : (x,y) = (-9.88178,20.1226)

4588 : (x,y) = (-10.378,20.9908)

4589 : (x,y) = (-11.2024,21.5568)

4590 : (x,y) = (-10.5225,20.8234)

4591 : (x,y) = (-9.75973,20.1768)

4592 : (x,y) = (-10.3826,19.3945)

4593 : (x,y) = (-9.38578,19.4744)

4594 : (x,y) = (-8.64731,20.1487)

4595 : (x,y) = (-7.78961,20.6628)

4596 : (x,y) = (-6.87376,20.2613)

4597 : (x,y) = (-6.86615,19.2613)

4598 : (x,y) = (-7.72976,18.7571)

4599 : (x,y) = (-7.18374,17.9194)

4600 : (x,y) = (-6.38958,17.3116)

4601 : (x,y) = (-6.94793,16.482)

4602 : (x,y) = (-6.12439,15.9148)

4603 : (x,y) = (-5.5591,16.7397)

4604 : (x,y) = (-4.63419,17.1198)

4605 : (x,y) = (-5.44127,17.7103)

4606 : (x,y) = (-6.34103,18.1467)

4607 : (x,y) = (-5.57181,17.5077)

4608 : (x,y) = (-5.48431,16.5115)

4609 : (x,y) = (-4.55565,16.8824)

4610 : (x,y) = (-5.55258,16.8041)

4611 : (x,y) = (-5.83777,17.7626)

4612 : (x,y) = (-5.78699,18.7613)

4613 : (x,y) = (-5.68954,17.766)

4614 : (x,y) = (-6.68438,17.8675)

4615 : (x,y) = (-6.04969,17.0947)

4616 : (x,y) = (-5.06297,16.9322)

4617 : (x,y) = (-4.32665,16.2556)

4618 : (x,y) = (-5.222,16.701)

4619 : (x,y) = (-5.99426,16.0657)

4620 : (x,y) = (-5.34943,16.83)

4621 : (x,y) = (-6.03778,17.5554)

4622 : (x,y) = (-6.76371,16.8676)

4623 : (x,y) = (-5.7709,16.9873)

4624 : (x,y) = (-6.21699,16.0923)

4625 : (x,y) = (-5.22677,16.2319)

4626 : (x,y) = (-5.67286,15.3369)

4627 : (x,y) = (-6.60211,14.9675)

4628 : (x,y) = (-6.68441,13.9708)

4629 : (x,y) = (-6.36909,14.9198)

4630 : (x,y) = (-6.99194,14.1375)

4631 : (x,y) = (-6.70828,13.1786)

4632 : (x,y) = (-6.5316,12.1943)

4633 : (x,y) = (-7.11458,11.3818)

4634 : (x,y) = (-7.79564,12.114)

4635 : (x,y) = (-8.78149,11.9464)

4636 : (x,y) = (-8.87057,12.9425)

4637 : (x,y) = (-9.86801,13.014)

4638 : (x,y) = (-8.92864,13.3569)

4639 : (x,y) = (-8.78156,12.3678)

4640 : (x,y) = (-7.80637,12.1464)

4641 : (x,y) = (-6.8327,12.3744)

4642 : (x,y) = (-6.78511,11.3755)

4643 : (x,y) = (-6.62815,10.3879)

4644 : (x,y) = (-5.91948,9.68239)

4645 : (x,y) = (-5.70047,10.6581)

4646 : (x,y) = (-4.71376,10.4956)

4647 : (x,y) = (-4.17614,9.65246)

4648 : (x,y) = (-3.89247,8.69354)

4649 : (x,y) = (-3.33545,9.52404)

4650 : (x,y) = (-3.35784,8.52429)

4651 : (x,y) = (-2.83447,9.37639)

4652 : (x,y) = (-3.36498,10.2241)

4653 : (x,y) = (-3.78403,9.3161)

4654 : (x,y) = (-3.61406,10.3016)

4655 : (x,y) = (-4.49564,10.7736)

4656 : (x,y) = (-3.80845,10.0471)

4657 : (x,y) = (-4.70074,9.59564)

4658 : (x,y) = (-4.26506,10.4957)

4659 : (x,y) = (-3.60747,9.74236)

4660 : (x,y) = (-3.50007,8.74815)

4661 : (x,y) = (-4.38315,8.27893)

4662 : (x,y) = (-4.99815,7.4904)

4663 : (x,y) = (-5.0605,6.49235)

4664 : (x,y) = (-5.43364,5.56457)

4665 : (x,y) = (-5.96685,4.71859)

4666 : (x,y) = (-5.74784,5.69431)

4667 : (x,y) = (-6.08999,6.63395)

4668 : (x,y) = (-5.09639,6.52101)

4669 : (x,y) = (-5.14557,7.5198)

4670 : (x,y) = (-4.18825,7.2308)

4671 : (x,y) = (-4.8693,7.96303)

4672 : (x,y) = (-4.31228,8.79353)

4673 : (x,y) = (-4.18501,7.80166)

4674 : (x,y) = (-3.84137,8.74076)

4675 : (x,y) = (-4.63649,9.34721)

4676 : (x,y) = (-4.51915,8.35412)

4677 : (x,y) = (-5.24288,9.04419)

4678 : (x,y) = (-4.67198,8.22318)

4679 : (x,y) = (-3.67802,8.33296)

4680 : (x,y) = (-4.65972,8.52338)

4681 : (x,y) = (-5.65932,8.49498)

4682 : (x,y) = (-4.73441,8.87517)

4683 : (x,y) = (-5.73424,8.85676)

4684 : (x,y) = (-6.72601,8.7287)

4685 : (x,y) = (-7.72294,8.65038)

4686 : (x,y) = (-7.90432,7.66696)

4687 : (x,y) = (-8.89129,7.82785)

4688 : (x,y) = (-9.79672,7.40336)

4689 : (x,y) = (-9.16978,6.62428)

4690 : (x,y) = (-8.18101,6.77372)

4691 : (x,y) = (-8.87658,7.49219)

4692 : (x,y) = (-9.16176,8.45066)

4693 : (x,y) = (-9.76885,7.65602)

4694 : (x,y) = (-8.87728,8.10891)

4695 : (x,y) = (-9.5963,7.41392)

4696 : (x,y) = (-9.20615,8.33467)

4697 : (x,y) = (-10.1015,8.78004)

4698 : (x,y) = (-10.2005,9.77513)

4699 : (x,y) = (-9.2513,10.0897)

4700 : (x,y) = (-8.29024,10.366)

4701 : (x,y) = (-8.39923,11.3601)

4702 : (x,y) = (-9.12983,12.0429)

4703 : (x,y) = (-9.93288,11.447)

4704 : (x,y) = (-8.95552,11.2354)

4705 : (x,y) = (-8.88478,12.2329)

4706 : (x,y) = (-9.18908,13.1855)

4707 : (x,y) = (-9.53123,14.1251)

4708 : (x,y) = (-9.82903,13.1705)

4709 : (x,y) = (-10.1899,14.1031)

4710 : (x,y) = (-11.1703,13.906)

4711 : (x,y) = (-10.5886,14.7194)

4712 : (x,y) = (-9.79252,15.3246)

4713 : (x,y) = (-9.34176,14.432)

4714 : (x,y) = (-8.84696,13.5629)

4715 : (x,y) = (-8.15254,12.8434)

4716 : (x,y) = (-8.13493,11.8435)

4717 : (x,y) = (-7.30399,12.3999)

4718 : (x,y) = (-7.24641,11.4016)

4719 : (x,y) = (-8.22811,11.592)

4720 : (x,y) = (-7.27578,11.897)

4721 : (x,y) = (-7.44418,12.8828)

4722 : (x,y) = (-7.33677,11.8885)

4723 : (x,y) = (-6.33697,11.9085)

4724 : (x,y) = (-7.26872,12.2716)

4725 : (x,y) = (-7.29111,11.2719)

4726 : (x,y) = (-7.6144,12.2182)

4727 : (x,y) = (-7.05173,11.3915)

4728 : (x,y) = (-7.04412,10.3915)

4729 : (x,y) = (-7.68773,11.1569)

4730 : (x,y) = (-8.68732,11.1285)

